"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 17 21:40:57 UTC 2023","Sat Jun 17 21:42:05 UTC 2023","68000","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sat Jun 17 21:42:11 UTC 2023","Sat Jun 17 21:42:20 UTC 2023","9440","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Jun 17 21:49:09 UTC 2023","Sat Jun 17 21:49:24 UTC 2023","14916","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sat Jun 17 21:31:07 UTC 2023","Sat Jun 17 21:31:10 UTC 2023","3280","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Jun 17 21:31:10 UTC 2023","Sat Jun 17 21:31:14 UTC 2023","3783","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sat Jun 17 21:40:09 UTC 2023","Sat Jun 17 21:40:18 UTC 2023","8169","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sat Jun 17 21:39:28 UTC 2023","Sat Jun 17 21:39:36 UTC 2023","7405","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Jun 17 21:31:10 UTC 2023","Sat Jun 17 21:31:22 UTC 2023","11717","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Jun 17 21:49:05 UTC 2023","Sat Jun 17 21:49:09 UTC 2023","3417","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Jun 17 21:39:46 UTC 2023","Sat Jun 17 21:40:14 UTC 2023","27588","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sat Jun 17 21:47:37 UTC 2023","Sat Jun 17 21:47:41 UTC 2023","3817","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Jun 17 21:32:03 UTC 2023","Sat Jun 17 21:32:07 UTC 2023","3657","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Jun 17 21:31:41 UTC 2023","Sat Jun 17 21:31:44 UTC 2023","2789","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Jun 17 21:39:39 UTC 2023","Sat Jun 17 21:40:03 UTC 2023","23899","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Jun 17 21:48:10 UTC 2023","Sat Jun 17 21:48:13 UTC 2023","2670","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Jun 17 21:30:59 UTC 2023","Sat Jun 17 21:31:03 UTC 2023","3651","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sat Jun 17 21:55:10 UTC 2023","Sat Jun 17 21:55:28 UTC 2023","17643","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Jun 17 21:36:01 UTC 2023","Sat Jun 17 21:36:02 UTC 2023","694","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sat Jun 17 21:31:14 UTC 2023","Sat Jun 17 21:31:37 UTC 2023","23066","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Jun 17 21:30:56 UTC 2023","Sat Jun 17 21:30:59 UTC 2023","3263","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Jun 17 21:51:36 UTC 2023","Sat Jun 17 21:51:40 UTC 2023","3713","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Jun 17 21:36:13 UTC 2023","Sat Jun 17 21:36:42 UTC 2023","28587","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Jun 17 21:58:10 UTC 2023","Sat Jun 17 21:58:25 UTC 2023","15096","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sat Jun 17 21:39:32 UTC 2023","Sat Jun 17 21:39:42 UTC 2023","9600","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Sat Jun 17 21:46:48 UTC 2023","Sat Jun 17 21:47:08 UTC 2023","19510","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Jun 17 21:42:05 UTC 2023","Sat Jun 17 21:42:11 UTC 2023","5773","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
